State_Name,Year,Assembly_No,month,Constituency_No,Constituency_Name,Turnout_Percentage,Vote_Share_Percentage,Constituency_Type,Electors,N_Cand,Position,Sex,Party,Votes,Elected,Rel,Margin_Percentage,Runner,Runner_Party,Runner_Sex,Nota_Percentage,Last_Party,Last_Elected,Vote_Share_Change_pct,Turnout_Change_pct,Margin_Change_pct,Party_Change
Uttar_Pradesh,1962,3,2,13,SHAHJAHANPUR,39.89,39.91,SC,417272,5,1,Male,IND,66433,LAKHAN DAS,HINDUISM,10.8,NARAIN DIN BALMIKI,INC,M,nan,,,-60.09,-60.11,-89.2,
Uttar_Pradesh,1962,3,2,14,KHERI,41.7,46.42,General,432335,5,1,Male,INC,83689,BALGOVIND,HINDUISM,20.51,KHUSHWAQT RAI ALIAS BHAIYA LAL,PSP,M,nan,,,-53.58,-58.3,-79.49,
Uttar_Pradesh,1962,3,2,15,MISRIKH,44.96,43.17,SC,460807,3,1,Male,JS,89433,GOKARAN,HINDUISM,4.3,BHAWANI PRASAD,INC,M,nan,,,-56.83,-55.04,-95.7,
Uttar_Pradesh,1962,3,2,16,SITAPUR,45.01,35.89,General,471972,5,1,Male,JS,76242,SURAJ LAL,HINDUISM,1.59,DINESH PRATAP SINGH,INC,M,nan,,,-64.11,-54.99,-98.41,
Uttar_Pradesh,1962,3,2,17,HARDOI,41.26,38.57,SC,451711,4,1,Male,INC,71883,KINDAR LAL,HINDUISM,12.51,SHIVA DEEN,JS,M,nan,,,-61.43,-58.74,-87.49,
Uttar_Pradesh,1962,3,2,18,SHAHABAD,46.49,43.61,General,453591,5,1,Male,JS,91972,YUVRAJ DUTT SINGH,HINDUISM,3.46,CHHEDA LAL,INC,M,nan,,,-56.39,-53.51,-96.54,
Uttar_Pradesh,1962,3,2,19,UNNAO,41.4,38.97,General,454579,8,1,Male,INC,73340,KRISHNA DEO ALIAS MUNNOO,HINDUISM,23.45,BIRPAL SINGH,JS,M,nan,,,-61.03,-58.6,-76.55,
Uttar_Pradesh,1962,3,2,20,MOHANLALGANJ,44.37,42.92,SC,413539,6,1,Female,INC,78752,GANGA DEVI,HINDUISM,24.1,RAM BAKSH,JS,M,nan,,,-57.08,-55.63,-75.9,
Uttar_Pradesh,1962,3,2,21,LUCKNOW,56.7,50.45,General,407726,6,1,Male,INC,116637,B. K. DHAON,HINDUISM,12.98,ATAL BEHARI BAJPAI,JS,M,nan,,,-49.55,-43.3,-87.02,
Uttar_Pradesh,1962,3,2,22,RAE BARELI,47.44,38.67,SC,422089,3,1,Male,INC,77435,BAIJNATH KUREEL,HINDUISM,7.13,TARAVATI,JS,F,nan,,,-61.33,-52.56,-92.87,
Uttar_Pradesh,1962,3,2,23,SALON,45.97,48.86,General,411063,4,1,Male,INC,92336,RAJA DINESH SINGH,HINDUISM,17.76,JAI RAM,SOC,M,nan,,,-51.14,-54.03,-82.24,
Uttar_Pradesh,1962,3,2,24,PRATAPGARH,50.94,47.97,General,394871,3,1,Male,JS,96483,AJIT PRATAP SINGH,HINDUISM,11.79,MUNISHWAR DUTT UPADHYA,INC,M,nan,,,-52.03,-49.06,-88.21,
Uttar_Pradesh,1962,3,2,25,MUSAFIRKHANA,40.71,48.3,General,395994,6,1,Male,INC,77869,KUNWAR RANANJAI SINGH,HINDUISM,31.14,JAGROOP,SOC,M,nan,,,-51.7,-59.29,-68.86,
Uttar_Pradesh,1962,3,2,26,SULTANPUR,41.3,53.71,General,396316,3,1,Male,INC,87918,KUNWAR KRISHNA,HINDUISM,19.89,BECHU SINGH,JS,M,nan,,,-46.29,-58.7,-80.11,
Uttar_Pradesh,1962,3,2,27,AKBARPUR,47.74,39.28,SC,430435,6,1,Male,INC,80727,PANNA LAL,HINDUISM,22.02,BHAROSE,IND,M,nan,,,-60.72,-52.26,-77.98,
Uttar_Pradesh,1962,3,2,28,FAIZABAD,47.35,40.14,General,399568,4,1,Male,INC,75939,BRIJ BASI LAL,HINDUISM,5.74,RAJENDRA BAHADUR SINGH,JS,M,nan,,,-59.86,-52.65,-94.26,
Uttar_Pradesh,1962,3,2,29,RAMSANEHIGHAT,47.52,36.44,SC,419365,4,1,Male,INC,72633,SWAMI RAMA NAND,SIKHISM,0.97,BHAGIRATH,JS,M,nan,,,-63.56,-52.48,-99.03,
Uttar_Pradesh,1962,3,2,30,BARA BANKI,51.72,34.25,General,432123,5,1,Male,SOC,76545,RAM SEWAK YADAV,HINDUISM,0.14,HUSAIN KAMIL KIDWAI,INC,M,nan,,,-65.75,-48.28,-99.86,
Uttar_Pradesh,1962,3,2,31,KAISARGANJ,44.47,61.51,General,401792,2,1,Female,SWA,109907,BASANT KUNWARI,HINDUISM,23.02,BHAGWANDIN,INC,M,nan,,,-38.49,-55.53,-76.98,
Uttar_Pradesh,1962,3,2,32,BAHRAICH,38.01,44.76,General,443936,3,1,Male,SWA,75544,KUNWAR RAM SINGH,HINDUISM,1.32,JOGENDRA SINGH,INC,M,nan,,,-55.24,-61.99,-98.68,
Uttar_Pradesh,1962,3,2,33,BALRAMPUR,50.58,43.33,General,466671,5,1,Female,INC,102260,SUBHADRA JOSHI,HINDUISM,0.87,ATAL BEHARI BAJPAI,JS,M,nan,,,-56.67,-49.42,-99.13,
Uttar_Pradesh,1962,3,2,34,GONDA,44.93,41.19,General,437337,4,1,Male,INC,80937,RAM RATAN GUPTA,HINDUISM,0.25,DANDEKAR NARAYAN,SWA,M,nan,,,-58.81,-55.07,-99.75,
Uttar_Pradesh,1962,3,2,35,BASTI,49.14,44.58,General,414207,5,1,Male,INC,90735,KESHAVA DEVA MALAVIYA,HINDUISM,9.3,K. K. K. NAYAR,JS,M,nan,,,-55.42,-50.86,-90.7,
Uttar_Pradesh,1962,3,2,36,DOMARIAGANJ,49.64,37.2,General,416674,3,1,Male,INC,76941,KRIPA SHANKER,HINDUISM,0.76,MADHAVA PRASAD TRIPATHI,JS,M,nan,,,-62.8,-50.36,-99.24,
Uttar_Pradesh,1962,3,2,37,BANSI,47.07,52.2,SC,398156,4,1,Male,INC,97816,SHEO NARAIN,HINDUISM,28.15,HAR NATH PRASAD,SWA,M,nan,,,-47.8,-52.93,-71.85,
Uttar_Pradesh,1962,3,2,38,BANSGAON,38.34,42.33,SC,449091,6,1,Male,INC,72894,MAHADEO PRASAD,HINDUISM,28.48,PATRAS,PSP,M,nan,,,-57.67,-61.66,-71.52,
Uttar_Pradesh,1962,3,2,39,GORAKHPUR,48.77,33.87,General,413275,8,1,Male,INC,68258,SINHASAN SINGH,HINDUISM,1.62,DIGVIJAI NATH,HMS,M,nan,,,-66.13,-51.23,-98.38,
Uttar_Pradesh,1962,3,2,40,MAHARAJGANJ,45.26,52.7,General,400205,3,1,Male,INC,95469,MAHADEO PRASAD,HINDUISM,13.45,SHIBBAN LAL SAXENA,SOC,M,nan,,,-47.3,-54.74,-86.55,
Uttar_Pradesh,1962,3,2,41,HATA,50.32,50.81,General,430300,4,1,Male,INC,109999,KASHI NATH PANDEY,HINDUISM,30.62,VASUDEO PRATAP NARAIN SINGH,JS,M,nan,,,-49.19,-49.68,-69.38,
Uttar_Pradesh,1962,3,2,42,DEORIA,48.1,40.14,General,415334,4,1,Male,INC,80195,VAISHWANATH,HINDUISM,9.63,ASOKA RANJITRAM MEHTA,PSP,M,nan,,,-59.86,-51.9,-90.37,
Uttar_Pradesh,1962,3,2,43,SALEMPUR,43.9,33.17,General,455603,6,1,Male,INC,66351,VISHWANATH PANDEY,HINDUISM,12.24,RAJ KUMAR,SOC,M,nan,,,-66.83,-56.1,-87.76,
Uttar_Pradesh,1962,3,2,44,AZAMGARH,48.4,35.2,General,437772,6,1,Male,INC,74576,RAM HARKH,HINDUISM,5.38,VISHRAM RAI,PSP,M,nan,,,-64.8,-51.6,-94.62,
Uttar_Pradesh,1962,3,2,45,LALGANJ,46.2,37.49,SC,437040,4,1,Male,PSP,75683,VISHRAM PRASAD,HINDUISM,10.18,SHRI NATH JI,INC,M,nan,,,-62.51,-53.8,-89.82,
Uttar_Pradesh,1962,3,2,46,GHOSI,54.51,30.27,General,433042,7,1,Male,CPI,71453,JAI BAHADUR,HINDUISM,3.68,KALIKA SINGH,INC,M,nan,,,-69.73,-45.49,-96.32,
Uttar_Pradesh,1962,3,2,47,BALLIA,49.79,50.13,General,425638,4,1,Male,INC,106245,MURLI MANOHAR,HINDUISM,16.89,BAIJNATH,PSP,M,nan,,,-49.87,-50.21,-83.11,
Uttar_Pradesh,1962,3,2,48,RASRA,51.64,38.78,General,440724,4,1,Male,CPI,88253,SARJOO PANDEY,HINDUISM,3.86,SIDDHESHWAR PRASAD SINGH,INC,M,nan,,,-61.22,-48.36,-96.14,
Uttar_Pradesh,1962,3,2,49,GAZIPUR,52.59,36.72,General,399020,6,1,Male,INC,77046,VISWANATH SINGH GAHMARI,HINDUISM,17.57,HAR PRASAD,CPI,M,nan,,,-63.28,-47.41,-82.43,
Uttar_Pradesh,1962,3,2,50,JAUNPUR,57.9,43.75,General,413218,4,1,Male,JS,104687,BRAHMJEET,HINDUISM,3.32,BIRBAL SINGH,INC,M,nan,,,-56.25,-42.1,-96.68,
Uttar_Pradesh,1962,3,2,51,MACHHLISHAHR,54.79,43.17,SC,429365,3,1,Male,INC,101558,GANPAT RAM,HINDUISM,9.32,MAHADEO,JS,M,nan,,,-56.83,-45.21,-90.68,
Uttar_Pradesh,1962,3,2,52,VARANASI,60.94,40,General,429474,6,1,Male,INC,104682,RAGHUNATH SINGH,HINDUISM,17.54,RAGHUVIRA,JS,M,nan,,,-60,-39.06,-82.46,
Uttar_Pradesh,1962,3,2,53,CHANDAULI,54.48,37,General,422338,4,1,Male,INC,85117,BAL KRISHNA,HINDUISM,0.78,PRABHU NARAIN SINGH,SOC,M,nan,,,-63,-45.52,-99.22,
Uttar_Pradesh,1962,3,2,54,ROBERTGANJ,42.37,47.6,SC,412895,4,1,Male,INC,83280,RAM SARUP,HINDUISM,14.77,SARABJIT,JS,M,nan,,,-52.4,-57.63,-85.23,
Uttar_Pradesh,1962,3,2,55,MIRZAPUR,56.11,38.42,General,410119,6,1,Male,INC,88408,SHYAMDHAR MISRA,HINDUISM,6.89,MURLIDHAR,JS,M,nan,,,-61.58,-43.89,-93.11,
Uttar_Pradesh,1962,3,2,56,PHULPUR,47.15,61.62,General,409292,5,1,Male,INC,118931,JAWAHAR LAL NEHRU,HINDUISM,33.46,RAM MANOHAR LOHIA,SOC,M,nan,,,-38.38,-52.85,-66.54,
Uttar_Pradesh,1962,3,2,57,ALLAHABAD,53.01,58.07,General,446090,3,1,Male,INC,137324,LAL BAHADUR SHASTRI,HINDUISM,28.98,RAM GOPAL SAND,JS,M,nan,,,-41.93,-46.99,-71.02,
Uttar_Pradesh,1962,3,2,58,CHAIL,38.15,42.41,SC,415664,5,1,Male,INC,67251,MASURIYA DIN,HINDUISM,21.37,PANNA LAL,JS,M,nan,,,-57.59,-61.85,-78.63,
Uttar_Pradesh,1962,3,2,59,FATEHPUR,39.58,52.91,General,435714,4,1,Male,IND,91251,GAURI SHANKAR ALIAS GAURI BABU,HINDUISM,16.96,BALKRISHNA VISHWANATH KESKAR,INC,M,nan,,,-47.09,-60.42,-83.04,
Uttar_Pradesh,1962,3,2,60,BANDA,29.85,36.62,General,420121,5,1,Female,INC,45919,SAVITRI NIGAM,HINDUISM,10.91,JAMUNA PRASAD,PSP,M,nan,,,-63.38,-70.15,-89.09,
Uttar_Pradesh,1962,3,2,61,HAMIRPUR,50.83,47.86,General,408471,5,1,Male,INC,99375,MANNOO LAL DWIVEDI,HINDUISM,13.33,UDIT NARAYAN,PSP,M,nan,,,-52.14,-49.17,-86.67,
Uttar_Pradesh,1962,3,2,62,JHANSI,46.57,45.41,General,422940,3,1,Female,INC,89445,SHUSHILA NAYAR,HINDUISM,5.63,PANNA LAL,CPI,M,nan,,,-54.59,-53.43,-94.37,
Uttar_Pradesh,1962,3,2,63,JALAUN,55.53,42.62,SC,424771,5,1,Male,INC,100530,RAM SEWAK,HINDUISM,14.97,JWALA PRASAD AHIRWAR,PSP,M,nan,,,-57.38,-44.47,-85.03,
Uttar_Pradesh,1962,3,2,64,GHATAMPUR,47.75,41.23,SC,442776,5,1,Male,INC,87158,TULA RAM,HINDUISM,10.4,JANKI PRASAD,SOC,M,nan,,,-58.77,-52.25,-89.6,
Uttar_Pradesh,1962,3,2,65,KANPUR,53.89,53.21,General,484933,10,1,Male,IND,139039,S. M. BANERJEE,HINDUISM,22.24,BEJOY KUMAR SINHA,INC,M,nan,,,-46.79,-46.11,-77.76,
Uttar_Pradesh,1962,3,2,66,BILHAUR,49.41,28.86,General,447601,8,1,Male,INC,63841,BRIJ BEHARI MEHROTRA,HINDUISM,2.65,RAM GOPAL SINGH,PSP,M,nan,,,-71.14,-50.59,-97.35,
Uttar_Pradesh,1962,3,2,67,ETAWAH,56.1,27.64,General,425674,5,1,Male,INC,66017,GOPI NATH DIKSHIT,HINDUISM,1.31,ARJUN SINGH,SOC,M,nan,,,-72.36,-43.9,-98.69,
Uttar_Pradesh,1962,3,2,68,FARRUKHABAD,50.83,32.96,General,475245,7,1,Male,INC,79621,MUL CHAND,HINDUISM,5.91,BHARAT SINGH RATHORE,PSP,M,nan,,,-67.04,-49.17,-94.09,
Uttar_Pradesh,1962,3,2,69,KAIMGANJ,54.76,29.9,General,427579,6,1,Male,INC,70014,PREM KISHAN KHANNA,HINDUISM,6.19,KABIR SHAH,PSP,M,nan,,,-70.1,-45.24,-93.81,
Uttar_Pradesh,1962,3,2,70,MAINPURI,56.26,21.93,General,424099,8,1,Male,INC,52328,BADSHAH GUPTA,HINDUISM,0.34,RAM NATH,CPI,M,nan,,,-78.07,-43.74,-99.66,
Uttar_Pradesh,1962,3,2,71,ETAH,53.49,25.1,General,419948,7,1,Male,HMS,56392,BISHAN CHANDRA SETH,HINDUISM,4.72,ROSHAN LAL CHATURVEDI,INC,M,nan,,,-74.9,-46.51,-95.28,
Uttar_Pradesh,1962,3,2,72,JALESAR,55.73,36.34,General,426279,7,1,Male,SWA,86318,KRISHNAPAL SINGH RAO,HINDUISM,9.83,RAGHUBIR SINGH,INC,M,nan,,,-63.66,-44.27,-90.17,
Uttar_Pradesh,1962,3,2,73,FIROZABAD,47.93,29.7,General,450593,10,1,Male,INC,64145,SHAMBHU NATH CHATURVEDI,HINDUISM,6.13,DATA RAM GORAKH,REP,M,nan,,,-70.3,-52.07,-93.87,
Uttar_Pradesh,1962,3,2,74,AGRA,61.61,48.28,General,433164,5,1,Male,INC,128849,SETH ACHAL SINGH,JAINISM,20.37,HAIDER BUX,REP,M,nan,,,-51.72,-38.39,-79.63,
Uttar_Pradesh,1962,3,2,75,MATHURA,51.75,32.87,General,458887,7,1,Male,INC,78062,CHAUDHARI DIGAMBER SINGH,HINDUISM,11.32,RAJA MAHENDRA PRATAP,IND,M,nan,,,-67.13,-48.25,-88.68,
Uttar_Pradesh,1962,3,2,76,HATRAS,54.05,35.62,SC,447606,4,1,Male,REP,86163,JOTI SARUP,HINDUISM,1.1,NAR DEO,INC,M,nan,,,-64.38,-45.95,-98.9,
Uttar_Pradesh,1962,3,2,77,ALIGARH,51.92,30.38,General,466414,6,1,Male,REP,73571,B. P. MAURYA,HINDUISM,1.25,SHIV KUMAR,IND,M,nan,,,-69.62,-48.08,-98.75,
Uttar_Pradesh,1962,3,2,78,KHURJA,52.17,44.76,SC,432774,4,1,Male,INC,101042,KANHAIYA LAL BALMIKI,HINDUISM,12.54,YAD RAM,PSP,M,nan,,,-55.24,-47.83,-87.46,
Uttar_Pradesh,1962,3,2,79,BULANDSAHAR,57.9,32.13,General,429674,5,1,Male,INC,79925,SURENDRA PAL SINGH,HINDUISM,6.81,NEM PAL SINGH,PSP,M,nan,,,-67.87,-42.1,-93.19,
Uttar_Pradesh,1962,3,2,80,HAPUR,53.89,34.9,General,435947,6,1,Female,INC,81999,KAMLA CHAUDHRY,HINDUISM,12.19,NASEEM,IND,M,nan,,,-65.1,-46.11,-87.81,
Uttar_Pradesh,1962,3,2,81,MERUT,60.48,52.9,General,416209,4,1,Male,INC,133172,SHAH NAWAZ KHAN,ISLAM,17.94,MAHARAJ SINGH BHARTI,SOC,M,nan,,,-47.1,-39.52,-82.06,
Uttar_Pradesh,1962,3,2,82,SARDHANA,56.32,34.47,General,440370,7,1,Male,INC,85500,KRISHAN CHANDRA SHARMA,HINDUISM,5.91,RAGHUVIR SINGH,IND,M,nan,,,-65.53,-43.68,-94.09,
Uttar_Pradesh,1962,3,2,83,MUZAFFARNAGAR,54.24,34.15,General,403385,5,1,Male,INC,74725,SUMAT PRASAD,HINDUISM,8.1,LATAFAT ALI KHAN,PSP,M,nan,,,-65.85,-45.76,-91.9,
Uttar_Pradesh,1962,3,2,84,KAIRANA,62.73,48.38,General,443410,6,1,Male,IND,134575,YASHPAL SINGH,HINDUISM,19.21,AJIT PRASAD JAIN,INC,M,nan,,,-51.62,-37.27,-80.79,
Uttar_Pradesh,1962,3,2,85,SAHARANPUR,55.05,44.76,SC,425001,5,1,Male,INC,104709,SUNDER LAL,HINDUISM,24.09,MAM RAJ,JS,M,nan,,,-55.24,-44.95,-75.91,
Uttar_Pradesh,1962,3,2,86,DEHRA DUN,59.09,50.89,General,404429,4,1,Male,INC,121618,MAHAVIR TYAGI,HINDUISM,31.13,SUSHILA DEVI,JS,F,nan,,,-49.11,-40.91,-68.87,
Uttarakhand,2019,17,4,1,TEHRI GARHWAL,58.66,64.53,General,1493543,15,1,Female,BJP,565333,MALA RAJYA LAXMI SHAH,HINDUISM,34.31,PRITAM SINGH,INC,M,0.72,BJP,MALA RAJYA LAXMI SHAH,6.98,1.27,9.51,
Uttarakhand,2019,17,4,2,GARHWAL,54.79,68.25,General,1355796,9,1,Male,BJP,506980,Tirath Singh Rawat,HINDUISM,40.75,Manish Khanduri,INC,M,1.65,BJP,(MAJ GEN (RETD.) ) BHUWAN CHANDRA KHANDURI (AVSM),8.77,0.97,13.69,
