State_Name,Year,Assembly_No,Party,Total_Seats_in_Assembly,Total_Votes_in_Assembly,Total_Votes_in_Contested_Seats,Total_Candidates,Winners,Deposits_Lost,Strike_Rate,Seat_Share,Vote_Share_in_Assembly,Vote_Share_in_Contested_Seats,position,Expanded_Party_Name
Telangana,2014,1,BSP,119,19448279,16757161,102,2,100,1.9607843137254901,1.68,1.35,1.56,7,BAHUJAN SAMAJ PARTY
Telangana,2014,1,BUDM,119,19448279,124746,1,0,1,0.0,0,0,0.08,20,
Telangana,2014,1,CPI,119,19448279,1117830,7,1,4,14.285714285714286,0.84,0.89,15.44,8,COMMUNIST PARTY OF INDIA
Telangana,2014,1,CPM,119,19448279,6566989,37,1,34,2.7027027027027026,0.84,1.55,4.58,9,COMMUNIST PARTY OF INDIA (MARXIST)
Telangana,2014,1,DABAP,119,19448279,818290,4,0,4,0.0,0,0.01,0.35,21,
Telangana,2014,1,ESP,119,19448279,389715,2,0,2,0.0,0,0,0.18,22,
Telangana,2014,1,GAAP,119,19448279,939200,5,0,5,0.0,0,0,0.08,23,
Telangana,2014,1,GGP,119,19448279,146438,1,0,1,0.0,0,0.01,0.9,24,
Telangana,2014,1,GRIP,119,19448279,162571,1,0,1,0.0,0,0,0.56,25,
Telangana,2014,1,ICSP,119,19448279,2841337,15,0,15,0.0,0,0.04,0.24,26,
Telangana,2014,1,IMPP,119,19448279,389715,2,0,2,0.0,0,0,0.08,27,
Telangana,2014,1,INC,119,19448279,18548128,113,21,23,18.58407079646018,17.65,25.02,26.23,2,INDIAN NATIONAL CONGRESS
Telangana,2014,1,IND,119,19448279,19448279,668,1,661,0.1497005988023952,0.84,5,5,10,INDEPENDENT
Telangana,2014,1,IUML,119,19448279,841223,5,0,5,0.0,0,0.01,0.13,28,
Telangana,2014,1,JAP,119,19448279,1052090,7,0,7,0.0,0,0.01,0.15,29,
Telangana,2014,1,JASP,119,19448279,229586,1,0,1,0.0,0,0,0.12,30,
Telangana,2014,1,JASPA,119,19448279,3214085,18,0,18,0.0,0,0.06,0.37,31,
Telangana,2014,1,JD(U),119,19448279,577318,4,0,4,0.0,0,0,0.11,32,
Telangana,2014,1,JMBP,119,19448279,158344,1,0,1,0.0,0,0,0.22,33,
Telangana,2014,1,JP,119,19448279,263134,1,0,1,0.0,0,0,0.21,34,
