State_Name,Assembly_No,Year,month,Constituency_No,Constituency_Name,Turnout_Percentage,Vote_Share_Percentage,Constituency_Type,Electors,N_Cand,Position,Sex,Party,Votes,Elected,Margin_Percentage,Runner,Runner_Party,Runner_Sex,Nota_Percentage,Last_Party,Last_Elected,Vote_Share_Change_pct,Turnout_Change_pct,Margin_Change_pct,Party_Change
Madras,4,1967,2,66,TIRUKOILUR,78.47,51.25,General,85190,2,1,Male,INC,34259,E. M. SUBRAMANIAM,2.5,A. S. KUMARASAMY,DMK,M,nan,DMK,SREERAMULU,-7.22,12.76,-14.44,INC
Madras,4,1967,2,67,MUGAIYUR,75.99,56.42,General,87691,4,1,Male,DMK,37598,A. GOVINDASAMY,18.07,N. K GANAPATHY,INC,M,nan,SWA,CHINNA MUNISAMY CHETTIAR N. MUNISAMY CHETTY,26.29,23.7,11.86,DMK
Madras,4,1967,2,68,RISHIVANDIYAM,73.22,49.6,SC,72950,3,1,Male,DMK,26491,M. ANANDAN,0.6,L. ANANDAN,INC,M,nan,INC,RAMACHANDRA REDDY,-14.86,30.16,-28.32,DMK
Madras,4,1967,2,69,SANKARAPURAM,71.58,54.75,General,72198,3,1,Male,DMK,28292,S. P. PACHAIYAPPAN,10.68,D. MUTHUSAMI,INC,M,nan,DMK,M. V. KARIVENGADAM,0.89,21.11,-8.55,
Madras,4,1967,2,70,KALLAKURICHI,80.23,56.38,General,86613,4,1,Male,DMK,39175,D. K. NAIDU,15.16,V. T. ELAYAPILLAI,INC,M,nan,IND,R. S. VEERAPPA CHETTIAR,15.57,20.98,5.99,DMK
Madras,4,1967,2,71,HOSUR,52.51,52.69,General,77814,2,1,Male,SWA,21530,B. VENKATASWAMI,5.39,K. A. PILLAI,INC,M,nan,INC,M. KOLANDAISAMY GOUNDER,0.22,7.98,0.46,SWA
Madras,4,1967,2,72,UDDANAPALLE,55.17,65.75,General,81023,2,1,Male,SWA,29391,K. S. KOTHANDRAMIAH,31.49,D. C. VIJENDRIAH,INC,M,nan,INC,RAMASAMY UDAYAR,10.24,-15.74,17.42,SWA
Madras,4,1967,2,73,KRISHNAGIRI,64.19,47.31,General,79748,3,1,Male,INC,24220,P. M. M. GOUNDER,0.36,C. MANNIAPPAN,DMK,M,nan,INC,C. VENKATARAMAN,-3.36,-16.72,-4.15,
Madras,4,1967,2,74,KAVERIPATNAM,73.19,52.74,General,85370,2,1,Male,INC,32953,P. NAIDU,5.47,P. V. SEERAMULU,DMK,M,nan,INC,A. RATHANAVEL GOUNDER,5.18,2.15,-9.12,
Madras,4,1967,2,75,UTTANGARAI,71.63,49.06,General,90460,3,1,Male,INC,31791,T. T. GOUNDER,3.15,K. R. KRISHNAN,DMK,M,nan,DMK,S. ARUMUGAM,-5.72,1.71,-12.25,INC
